Kraftwerksname / Standort,Betreiber,Bundesland,Standort-PLZ,Kraftwerksstandort,Elektrische Bruttoleistung (MW),Anlagenart,Primärenergieträger,Latitude,Longitude,Type_Prod,Erzeuger
Templin-Groß Dölln,Photovoltaikkraftwerk Groß Dölln GmbH,BB,17268.0,Templin,128.4,PV,Licht,53.1193496,13.5005559,Erneuerbar,Other
Thyrow A bis E,Lausitz Energie Kraftwerke AG (LEAG),BB,15806.0,Zossen,189.2,GT,Erdgas,52.2200321,13.462857403723646,Konventionell,Other
Töging / Inn,Verbund Innkraftwerke GmbH,BY,84513.0,Töging,118.0,LWK,Wasser,48.2547192,12.5864967,Erneuerbar,Other
Tramm-Göthen,LUXCARA Asset Management GmbH / Belectric GmbH,MV,19089.0,Tramm,172.0,PV,Licht,53.5210144,11.6444102,Erneuerbar,Other
Uckermark,ENERTRAG AG,BB,17291.0,Bertikow,341.3,WEA,Wind (L),53.2442165,13.933023545115766,Erneuerbar,Other
Veer Dörper,Bürgerwindpark Veer Dörper GmbH & Co.KG,SH,25862.0,Joldelund,100.0,WEA,Wind (L),54.6497452,9.1375357,Erneuerbar,Other
Veja Mate,Veja Mate Offshore Project GmbH,Offshore,,Nordsee,402.0,WEA,Wind (O),55.7326722,8.311128391226891,Erneuerbar,Other
Ville / Berrenrath (Hürth),RWE Power AG,NW,50354.0,Hürth,107.0,DKW,Braunkohle,50.8807379,6.876568,Konventionell,RWE
Völklingen-Fenne HKV,Steag Power Saar GmbH,SL,66333.0,Völklingen-Fenne,236.0,HKW,Steinkohle,49.2471507,6.8833494,Konventionell,Other
Völklingen-Fenne MKV,Steag Power Saar GmbH,SL,66333.0,Völklingen-Fenne,195.0,HKW,Steinkohle,49.2471507,6.8833494,Konventionell,Other
Walchensee / Isar,Uniper SE,BY,82431.0,Kochel am See,125.6,SWK,Wasser,47.6531098,11.3631895,Erneuerbar,Eon
Waldeck I / Eder,Uniper SE,HE,34549.0,Edertal,147.3,PSW,Wasser,51.1436159,9.1745488,Erneuerbar,Eon
Waldeck II / Eder,Uniper SE,HE,34549.0,Edertal,480.0,PSW,Wasser,51.1436159,9.1745488,Erneuerbar,Eon
Waldshut 1 bis 4,Schluchseewerk AG,BW,79761.0,Waldshut,176.0,PSW,Wasser,47.6246179,8.2120605,Erneuerbar,Other
Walheim 1,EnBW Kraftwerke AG,BW,74399.0,Walheim,107.0,DKW,Steinkohle,49.0126104,9.1519563,Konventionell,EnBW
Walheim 2,EnBW Kraftwerke AG,BW,74399.0,Walheim,160.0,DKW,Steinkohle,49.0126104,9.1519563,Konventionell,EnBW
Walheim GT D,EnBW Kraftwerke AG,BW,74399.0,Walheim,143.0,GT,HEL,49.0126104,9.1519563,Konventionell,EnBW
Wedel 1,Vattenfall Europe GmbH,SH,22880.0,Wedel,152.8,HKW,Steinkohle,53.5810226,9.7038772,Konventionell,Vattenfall
Wedel 2,Vattenfall Europe GmbH,SH,22880.0,Wedel,133.6,HKW,Steinkohle,53.5810226,9.7038772,Konventionell,Vattenfall
Wedel A und B,Vattenfall Europe GmbH,SH,22880.0,Wedel,102.0,GT,HEL,53.5810226,9.7038772,Konventionell,Vattenfall
Weesow-Wilmersdorf,EnBW Solarpark Weesow-Willmersdorf GmbH / ALH-Gruppe,BB,16356.0,Werneuchen,187.0,PV,Licht,52.6334769,13.7340939,Erneuerbar,EnBW
Wehr 1,Schluchseewerk AG,BW,79664.0,Wehr,248.0,PSW,Wasser,47.6286078,7.9046417,Erneuerbar,Other
Wehr 2,Schluchseewerk AG,BW,79664.0,Wehr,248.0,PSW,Wasser,47.6286078,7.9046417,Erneuerbar,Other
Wehr 3,Schluchseewerk AG,BW,79664.0,Wehr,248.0,PSW,Wasser,47.6286078,7.9046417,Erneuerbar,Other
Wehr 4,Schluchseewerk AG,BW,79664.0,Wehr,248.0,PSW,Wasser,47.6286078,7.9046417,Erneuerbar,Other
Weisweiler F (5),RWE Power AG,NW,52249.0,Eschweiler,361.0,DKW,Braunkohle,50.8175029,6.2630894,Konventionell,RWE
Weisweiler G (6),RWE Power AG,NW,52249.0,Eschweiler,703.0,DKW,Braunkohle,50.8175029,6.2630894,Konventionell,RWE
Weisweiler H (7),RWE Power AG,NW,52249.0,Eschweiler,696.0,DKW,Braunkohle,50.8175029,6.2630894,Konventionell,RWE
